Epoch: 86, Avg Waypoints: 1760.27, Weight: 3.88000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 87, Avg Waypoints: 1770.50, Weight: 3.96000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 88, Avg Waypoints: 1759.36, Weight: 4.04000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 89, Avg Waypoints: 1784.76, Weight: 4.12000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 90, Avg Waypoints: 1763.41, Weight: 4.20000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 91, Avg Waypoints: 1762.16, Weight: 4.28000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 92, Avg Waypoints: 1758.13, Weight: 4.36000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 93, Avg Waypoints: 1732.50, Weight: 4.44000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 94, Avg Waypoints: 1742.07, Weight: 4.52000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 95, Avg Waypoints: 1723.92, Weight: 4.60000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 96, Avg Waypoints: 1734.90, Weight: 4.68000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 97, Avg Waypoints: 1760.78, Weight: 4.76000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 98, Avg Waypoints: 1746.09, Weight: 4.84000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 99, Avg Waypoints: 1733.61, Weight: 4.92000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 100, Avg Waypoints: 1742.72, Weight: 5.00000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
